Index       TIME              V(A)             V(OUT)           V(XFO4:B)         V(XFO4:C)         V(XFO4:D)         V(XFO4:E)    
79       4.05298792e-10    1.80000000e+00    2.66485295e-03    4.22496339e-04    1.77752363e+00    2.19587768e-02    1.70814165e+00
80       4.17140645e-10    1.80000000e+00    1.55369484e-03    3.23475845e-04    1.78175617e+00    1.61637497e-02    1.74561917e+00
81       4.40824350e-10    1.80000000e+00    4.78616488e-04    2.03143743e-04    1.78800349e+00    7.06878937e-03    1.78281115e+00
82       4.64508055e-10    1.80000000e+00    1.52312983e-04    1.38633552e-04    1.79224713e+00    2.46629439e-03    1.79464433e+00
83       4.88191760e-10    1.80000000e+00    4.37027182e-05    9.38981833e-05    1.79511568e+00    8.24560589e-04    1.79833744e+00
84       5.00000000e-10    1.80000000e+00    2.95765654e-05    7.59459011e-05    1.79613451e+00    5.00596411e-04    1.79902998e+00
85       5.00952372e-10    1.76571459e+00    2.63474255e-05   -1.72258066e-03    1.79610693e+00    4.77165192e-04    1.79906811e+00
86       5.01749433e-10    1.73702042e+00    2.50116602e-05   -3.13729110e-03    1.79608976e+00    4.58845374e-04    1.79909968e+00
87       5.03343553e-10    1.67963209e+00    2.32290969e-05   -5.80924106e-03    1.79606496e+00    4.24049597e-04    1.79916079e+00
88       5.06531794e-10    1.56485542e+00    2.02940756e-05   -1.03963886e-02    1.79606023e+00    3.64087922e-04    1.79927121e+00
89       5.12908276e-10    1.33530207e+00    1.53146945e-05   -1.82651967e-02    1.79612474e+00    2.71364107e-04    1.79945163e+00
90       5.25661239e-10    8.76195384e-01    8.67426969e-06   -3.23109194e-02    1.79632728e+00    1.53138797e-04    1.79969371e+00
91       5.27679233e-10    8.03547601e-01    8.00042209e-06   -3.33040546e-02    1.79642171e+00    1.43710273e-04    1.79971922e+00
92       5.31715221e-10    6.58252033e-01    6.85307385e-06   -3.22007844e-02    1.79676938e+00    1.32728199e-04    1.79976663e+00
93       5.39787197e-10    3.67660898e-01    5.15427176e-06   -3.97477053e-03    1.79872740e+00    1.59091217e-04    1.79984321e+00
94       5.47051976e-10    1.06128877e-01    3.93513788e-06    5.57205702e-02    1.80208183e+00    2.26326032e-04    1.79989491e+00
95       5.50000000e-10    0.00000000e+00    3.49410685e-06    8.94351011e-02    1.80385573e+00    2.60525300e-04    1.79991186e+00
96       5.50726478e-10    0.00000000e+00    3.48631184e-06    9.95646860e-02    1.80437904e+00    2.71416218e-04    1.79991593e+00
97       5.51371643e-10    0.00000000e+00    3.38766242e-06    1.08545791e-01    1.80483715e+00    2.80258516e-04    1.79991930e+00
98       5.52661974e-10    0.00000000e+00    3.13765349e-06    1.26482865e-01    1.80574148e+00    2.96525972e-04    1.79992565e+00
99       5.55242636e-10    0.00000000e+00    2.58489521e-06    1.62195649e-01    1.80748210e+00    3.21534847e-04    1.79993650e+00
100      5.60403959e-10    0.00000000e+00    1.74978802e-06    2.32957988e-01    1.81072900e+00    3.49249604e-04    1.79995264e+00
101      5.70726605e-10    0.00000000e+00    8.75136782e-07    3.71652465e-01    1.81655556e+00    3.56553487e-04    1.79997154e+00
102      5.91371899e-10    0.00000000e+00    3.32314784e-07    6.35549768e-01    1.82656429e+00    3.13689488e-04    1.79998696e+00
103      6.12017192e-10    0.00000000e+00   -1.74292820e-06    8.77267608e-01    1.81606783e+00   -2.38110796e-04    1.79995500e+00
104      6.30597955e-10    0.00000000e+00   -3.85308690e-06    1.07321640e+00    1.75238445e+00   -1.86065352e-03    1.79986066e+00
105      6.45686700e-10    0.00000000e+00   -4.22511524e-06    1.21689024e+00    1.64235355e+00   -4.12781856e-03    1.79975438e+00
106      6.58740036e-10    0.00000000e+00   -3.77020505e-06    1.32550252e+00    1.50854928e+00   -6.64190326e-03    1.79966437e+00
107      6.71793373e-10    0.00000000e+00   -6.09290184e-06    1.41768235e+00    1.34877078e+00   -9.96161211e-03    1.79955019e+00
108      6.84846709e-10    0.00000000e+00   -3.06150650e-06    1.49423847e+00    1.17249963e+00   -1.37898814e-02    1.79945088e+00
109      6.97900046e-10    0.00000000e+00    2.73226370e-05    1.55670443e+00    9.85697686e-01   -1.32552793e-02    1.79976706e+00
110      7.10953382e-10    0.00000000e+00    1.07118337e-04    1.60687205e+00    7.91318579e-01    4.03231382e-03    1.80138384e+00
